#{"t_start": 1658871392.3539033, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-146.624806,21,2051.915351
-2269.11004,301,53542.002811
-2240.861282,301,105396.778717
-571.999299,77,118407.418931
-1884.17335,256,162864.327643
-1212.562605,166,191343.970202
-2246.904314,301,225665.778883
-708.756396,95,230044.652256
-731.261414,99,236521.021056
-2227.798619,301,251102.673049
-2248.419197,301,265921.008124
-1103.551444,146,272762.579231
-2178.775933,301,287005.511522
-1006.473587,135,293554.432358
-2285.265877,301,308920.425318
-2265.458246,301,323964.055846
-336.707293,46,326344.090736
-511.425336,71,329935.197623
-2005.468834,273,343178.474395
-124.519659,18,344060.118143
-331.251841,46,346332.033114
-339.383036,46,348628.586869
-825.817007,116,354281.317252
-2227.279602,301,368880.929416
-523.538948,71,372227.096374
-1104.038222,150,379490.963946
-548.131753,76,383098.859447
-247.105373,34,384706.18625
-43.804203,6,385001.525481
-122.940651,16,385757.927998
-920.247966,125,391695.215295
-976.365709,130,397970.164049
-513.800841,68,401315.920251
-378.96185,52,403833.247391
-506.346709,72,407368.933821
-1044.571015,144,414383.038481
-480.826426,65,417580.396877
-467.36208,66,420738.236794
-19.164101,3,420893.980299
-487.838337,71,424361.886184
-133.166562,19,425320.624967
-179.115538,26,426566.033282
-732.533386,107,431837.405978
-256.467846,35,433537.309001
-146.550052,20,434522.277682
-230.645123,33,436168.792283
-242.103006,34,437835.166167
-43.932682,7,438223.994312
-80.159848,11,438753.533911
-480.92951,68,442087.313276
-248.994489,36,443789.543615
-261.48638,37,445654.855497
-156.902821,24,446847.722136
-546.981635,76,450589.083969
-21.593039,4,450744.881085
-1021.192958,146,457802.342971
-1161.574259,169,465993.240612
-63.925209,10,466465.2007
-326.525477,48,468826.698119
-263.814283,40,470755.3132
-159.504165,23,471779.274275
-35.720675,5,472049.779557
-75.234146,11,472593.163783
-26.360198,5,472822.945847
-313.671869,45,475102.240789
-357.875385,52,477686.898598
-39.220598,6,477991.589433
