#{"t_start": 1655326070.012002, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-6.871872,2,224.982081
-115.649082,18,3119.817074
-70.348828,12,5221.360431
-100.83632,14,7605.021101
-10.218979,2,7950.436768
-195.250088,29,13709.371041
-27.419583,4,14555.319393
-95.824547,15,18013.466337
-119.883872,17,21658.417736
-65.515579,11,23999.890407
-253.308775,38,33978.652852
-87.96735,13,39465.10168
-24.052825,4,40935.599345
-114.753461,17,47760.672145
-245.379827,39,57572.766738
-13.537846,3,57997.684134
-26.218354,4,58613.669378
-229.495352,35,65939.054343
-62.521449,12,68789.307539
-124.243161,19,73245.366528
-122.57993,19,77798.145251
-48.28631,9,79714.983035
-102.680353,15,82856.931746
-51.296039,7,84383.701627
-190.92008,28,90912.024398
-517.654943,77,107977.455897
-44.373932,7,109688.33781
-155.708666,24,117631.327523
-156.58603,23,124343.636308
-24.799501,4,125459.699166
-39.856067,6,127141.504609
-24.076348,4,128262.446088
-60.936948,10,131028.629395
-302.435794,46,143390.237617
-72.822429,12,146277.743662
-95.868726,14,149462.754959
-177.029011,29,155855.325582
-1.756907,1,156026.758301
-180.636538,27,162581.729019
-199.690031,30,169877.235623
-741.894901,111,196394.010733
-2.380004,1,196642.841558
-411.346294,61,211870.182046
-30.67484,4,213003.502821
-251.132189,37,222488.135198
-39.177402,5,225482.260443
-61.611736,10,229986.575273
-26.189571,4,231608.108134
-129.466726,21,239155.747494
-11.484074,2,239803.533038
-46.923892,7,241558.600589
-383.847851,58,257249.771067
-28.48631,5,258605.081867
-28.193762,4,259645.826705
-11.289093,2,260123.752808
-40.313258,6,261836.119518
-117.515912,17,266484.938637
-24.399009,5,267802.980618
-66.669139,10,270365.113799
-94.668961,16,274342.220376
-451.035769,69,291436.680394
-221.80312,34,299482.134788
-175.798816,27,306021.971516
-71.853856,11,308794.407907
-154.850644,28,315284.432616
-10.510687,2,315679.481367
-141.639543,21,319751.273553
-262.201698,39,327218.982322
-46.92828,9,329295.576761
-11.710975,2,329685.109536
-135.187563,22,334846.879637
-19.909757,4,335809.628819
-283.730694,44,346130.654137
-83.02224,13,348477.555489
-174.649896,27,353402.381324
-39.564127,6,354464.679137
-95.73365,16,357272.078499
-85.075106,13,359507.785535
-13.192793,2,359946.738024
-62.852767,10,361715.410818
-440.16145,67,374329.500437
-377.077084,57,384985.95461
-107.617324,17,388283.931424
-76.407596,10,390039.537024
-65.243905,10,391839.90786
-34.667746,6,392891.279346
-33.006584,5,393803.493909
-103.287038,16,396910.454436
-72.419876,11,400146.45121
-111.081448,16,409494.51837
-18.265885,3,410937.328143
