#{"t_start": 1658871393.1228018, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-409.617564,51,475.087227
-419.089842,51,1434.687112
-411.964175,51,2418.391051
-415.295844,51,3490.065005
-416.912411,51,4618.057745
-416.500259,51,5701.261884
-418.181827,51,6843.746347
-417.593675,51,7993.315285
-406.273639,51,9155.249915
-415.636061,51,10246.299865
-411.522691,51,11356.995071
-416.194189,51,12453.054538
-415.855567,51,13571.645378
-411.184259,51,14668.108589
-420.353589,51,15797.732497
-417.133821,51,16924.722292
-407.797151,51,17986.672448
-408.899538,51,19081.558604
-405.234541,51,20209.187687
-411.119427,51,21343.098395
-409.834168,51,22453.905946
-414.115603,51,23590.190459
-410.204076,51,24638.722565
-407.556195,51,25758.829713
-410.844663,51,26872.559435
-413.870679,51,27989.708899
-396.862718,51,29098.274631
-389.820698,51,30191.183774
-399.453169,51,31328.339469
-403.995374,51,32433.44967
-396.336708,51,33562.858337
-391.607003,51,34670.735983
-412.331843,51,35763.906028
-395.762635,51,36873.89775
-404.275544,51,38000.103585
-415.258558,51,38992.652868
-397.164579,51,40087.920113
-357.80982,51,41183.035431
-379.522368,51,42287.097722
-362.783298,51,43960.772449
-405.747323,51,45237.565577
-393.575365,51,46354.452935
-402.149342,51,47508.598281
-392.23552,51,48652.300732
-399.079366,51,49780.694699
-346.710131,51,50887.537023
-313.886617,51,52033.820854
-329.425052,51,53152.646696
-353.594191,51,54323.531424
-384.788348,51,55461.217979
-296.136083,51,56650.327142
-375.143882,51,57810.55272
-381.759521,51,58932.400837
-376.57616,51,60103.644596
-374.631499,51,61160.445913
-378.587326,51,62321.899519
-402.243858,51,63456.762589
-347.508259,51,64631.181268
-387.475857,51,65816.813143
-322.695617,51,66965.153669
-379.589563,51,68140.520257
-281.493123,51,69328.304918
-192.309928,33,70054.014339
-276.408138,43,71061.3256
-276.388382,51,72260.121829
-312.101009,51,73431.584284
-256.582563,41,74413.992738
-369.268141,51,75557.647942
-283.898876,51,76702.415087
-285.753626,51,77887.024507
-237.893278,34,78664.304001
-264.484631,51,79843.122146
-228.06713,51,81039.178515
-132.288278,24,81590.315729
-256.864393,48,82706.372987
-179.442415,29,83390.38865
-250.827591,51,84578.134947
-88.395852,16,84934.24937
-167.41018,25,85525.817535
-203.125716,47,86627.994914
-231.641204,46,87701.45418
-183.164043,39,88553.154365
-134.689792,21,89065.509255
-135.276669,23,89592.76317
-96.882701,18,90025.046396
-339.537963,51,91191.877059
-135.727779,31,91896.719509
-107.382493,19,92369.825461
-108.755688,20,92824.82437
-93.687252,21,93309.037358
-89.551663,17,93723.083449
-90.110583,17,94139.780047
-155.535648,27,94793.359137
-83.241048,18,95215.720654
-82.101046,15,95563.413862
-85.895596,16,95952.352329
-104.71226,22,96445.840963
-117.416863,24,97040.242054
-82.736877,14,97371.203756
-99.124043,17,97751.357611
-112.788426,18,97992.376462
-72.805196,12,98075.500122
-107.516013,18,98447.645552
-66.474105,12,98715.408411
-70.766985,13,99034.260715
-85.035722,15,99367.937827
-95.951489,15,99698.085216
-77.770745,14,100027.817653
-103.311895,19,100460.128119
-73.232619,15,100797.270759
-76.07073,14,101137.148922
-111.122835,19,101575.139082
-72.794066,17,101944.638699
-101.910389,16,102341.994505
-73.380135,14,102665.785034
-71.827163,13,102951.560413
-62.456918,11,103214.045133
-86.414992,20,103708.168528
-60.273543,13,103995.403388
-72.014626,14,104317.035863
-75.165187,17,104737.039917
-107.742112,22,105231.88586
-78.252503,14,105571.335757
-80.170821,15,105947.380364
-72.656239,13,106241.192815
-63.311628,11,106494.107338
-85.206687,15,106842.720889
-62.4745,12,107144.285068
-70.575146,12,107409.042984
-67.142042,15,107747.368858
-54.060403,10,107967.630355
-93.381814,16,108374.844812
-68.262388,12,108665.17267
-69.896674,12,108944.245647
-59.90798,12,109216.883023
-57.723716,12,109530.137915
-55.996746,11,109757.112265
-62.714956,12,110041.652879
-60.087992,11,110286.884605
-73.758333,14,110641.003122
-70.277895,13,110944.968093
-52.40458,10,111170.615515
-75.973802,13,111454.146693
-87.252323,15,111825.781576
-55.954899,10,112054.605387
-66.64802,14,112367.000483
-57.592753,11,112627.218257
-64.577629,13,112971.999885
-53.34562,10,113200.268815
-48.739372,11,113459.737557
-78.023236,14,113790.858684
-70.191559,14,114136.422286
-61.083023,12,114403.216453
-65.433144,12,114673.381155
-71.124714,15,115029.410779
-43.715502,10,115304.707051
-50.037582,9,115516.147753
-70.748726,13,115817.396928
-58.841863,12,116101.862085
-51.364789,11,116358.725588
-57.496938,10,116617.965468
-51.086696,10,116846.983641
-64.189073,12,117130.95141
-49.451978,10,117351.049656
-59.781374,12,117675.691293
-48.718363,10,117912.562755
-74.990038,14,118245.868247
-53.8307,11,118521.379746
-50.6647,11,118774.837686
-50.792642,10,119038.669004
-60.49678,12,119317.734664
-53.57527,10,119551.991184
-50.970594,10,119780.111257
-67.860202,14,120143.987337
-55.160723,10,120381.326217
-53.779893,10,120620.695319
-47.670173,9,120834.64468
-48.285267,10,121068.553635
-48.254132,10,121333.078479
-61.175151,12,121613.751454
-55.1517,11,121887.112915
-57.247,10,122110.139093
-53.537545,11,122373.657924
-47.599706,10,122644.311946
-52.812118,9,122856.875795
-50.466946,10,123107.407881
-50.545389,10,123344.593624
-51.434218,10,123583.860739
-51.201304,10,123911.576998
-42.8616,8,124100.152445
-44.816022,9,124323.600746
-46.541086,10,124568.284903
-52.921488,10,124801.001114
-52.972858,11,125149.533561
-59.293765,11,125414.917864
-48.599028,9,125639.802307
-49.940232,10,125881.795747
-51.234788,9,126096.693101
-46.403949,9,126342.109022
-62.026835,13,126659.660976
-51.983275,10,126899.857952
-53.947737,11,127166.99076
-57.831614,12,127445.632699
-45.559838,9,127695.641989
-48.840597,10,127943.884547
-40.396091,9,128167.825087
-52.625939,10,128411.073085
-39.891982,8,128600.18916
-52.570193,10,128874.158407
-45.723818,9,129087.762611
-45.101341,10,129340.35184
-47.535048,9,129568.103588
-54.642195,10,129813.419458
-47.657084,10,130080.685814
-52.520056,10,130338.203976
-47.077103,10,130580.482119
-47.330908,9,130806.677806
-39.588336,9,131027.598299
-47.138712,10,131266.750541
-48.210512,9,131531.943409
-44.486034,10,131792.323818
-42.018768,9,132009.032568
-40.265593,8,132195.865153
-41.9252,9,132427.837629
-49.023514,10,132701.170002
-48.563763,9,132920.926864
-47.259125,9,133143.776575
-48.595527,10,133388.048668
-44.801383,9,133613.240906
-48.251091,9,133885.02362
-39.009694,8,134089.099465
-42.421806,9,134316.075246
-46.131182,9,134540.578515
-38.956127,8,134729.108799
-43.738673,10,134983.69064
-46.266956,9,135252.12685
-39.760251,9,135477.521646
-48.243986,10,135727.703299
-43.250181,10,135974.091809
-47.481524,10,136229.084712
-42.307144,8,136461.320794
-38.35555,8,136653.911823
-44.798213,11,136926.256852
-38.203411,8,137133.129783
-47.353189,10,137373.405834
-38.849929,8,137578.929196
-40.951257,8,137804.979558
-51.209604,11,138079.74299
-51.719536,12,138374.91088
-61.052573,18,138831.171099
-38.324763,8,139446.11794
-42.911681,9,139590.428269
-43.86875,8,139796.030518
-43.169697,9,140021.127374
-43.093701,9,140261.259904
-41.929698,10,140520.792694
-40.643329,9,140793.389654
-41.886526,9,141020.012681
-44.696268,9,141246.860153
-43.536066,9,141477.135515
-40.849371,8,141680.475552
-38.939984,8,141881.884401
-36.591284,8,142109.080743
-39.898601,8,142317.13604
-40.325511,9,142537.778085
-37.631861,9,142767.843693
-38.959523,8,142972.338078
-39.199781,9,143230.070254
-51.138318,10,143490.244072
-41.773805,9,143708.288875
-41.291753,9,143931.874539
-38.267474,8,144133.085773
-36.088384,8,144326.839313
-40.127538,8,144581.686941
-40.294198,9,144801.456981
-42.925101,9,145031.169294
-45.13416,10,145284.579556
-40.707848,9,145510.55859
-42.075183,9,145725.453258
-41.62356,9,145997.951829
-39.049653,8,146200.716982
-37.317166,9,146421.868068
-39.480733,8,146639.701932
-36.422964,8,146838.305322
-40.638879,9,147067.341101
-37.90158,9,147320.500124
-45.557547,10,147584.966701
-37.341074,8,147793.556262
-45.866884,13,148122.643279
-43.568219,10,148368.105489
-35.550932,8,148608.992926
-38.282621,8,148819.730649
-38.635868,9,149055.128837
-38.099705,8,149253.739104
-40.265561,9,149478.854599
-36.768973,8,149541.951322
-37.457937,8,149603.273622
-40.312834,8,149659.093268
-34.544326,8,149714.177598
-39.338172,8,149775.215286
-37.54962,8,149831.471339
-34.398387,8,149999.554726
-46.903137,10,150297.104773
-41.253948,10,150543.352311
-36.717786,9,150786.482675
-43.408422,9,151020.819992
-36.618902,8,151222.317789
-36.082012,8,151467.333902
-37.838129,8,151671.316282
-41.694044,10,151937.148284
-35.831843,8,152142.670901
-44.532627,9,152381.016791
-38.58779,8,152583.4387
-36.02783,8,152826.477125
-39.129807,9,153065.823515
-40.940196,8,153274.85406
-40.908881,8,153485.945284
-36.755642,10,153742.982389
-37.337429,8,153967.830087
-41.81327,9,154243.552668
-35.298192,8,154459.086841
-36.446235,8,154669.129447
-36.093391,9,154911.815578
-39.162087,9,155158.163581
-34.346104,8,155361.192928
-38.48217,9,155637.608389
-36.771281,9,155880.197858
-33.802813,7,156065.688123
-35.877014,8,156289.644575
-37.847094,8,156501.969796
-40.19944,8,156715.593815
-36.770222,8,156963.472392
-40.027876,11,157248.599699
-38.379879,9,157491.974426
-37.895989,9,157746.621592
-35.769805,8,157945.834391
-37.373448,8,158166.511549
-37.638483,8,158399.38543
-36.183486,8,158623.51899
-33.595913,8,158830.26589
-39.089907,10,159094.90915
-37.300719,8,159309.643047
-38.013957,9,159562.14991
-41.859877,10,159858.565021
-41.492347,8,160070.539074
-37.510658,8,160275.792787
-35.193309,9,160507.98129
-37.92672,8,160721.159624
-40.617512,9,160991.285948
-37.016292,8,161196.017461
-43.674759,9,161452.107579
-34.62002,7,161647.689966
-40.045238,10,161915.346705
-37.438253,8,162118.975194
-39.503747,9,162396.868997
-34.960849,8,162618.673688
-37.551029,8,162829.008764
-37.375139,8,163039.245648
-36.365912,8,163261.858621
-33.606472,8,163459.709914
-37.303974,8,163716.759869
-36.570948,9,163971.238282
-37.568724,8,164181.233905
-36.891927,9,164433.229222
-38.598322,10,164698.846192
-36.725843,8,164906.015501
-33.584008,7,165131.789389
-35.807899,8,165360.03635
-33.969256,8,165572.115401
-36.376599,7,165753.846627
-35.834047,8,165972.518463
-34.152167,7,166161.37594
-34.7168,8,166371.886893
-33.097776,7,166599.10289
-38.899821,8,166810.177249
-36.188406,8,167033.957041
-34.051082,7,167238.196681
-34.534086,8,167460.037
-34.158604,8,167679.315704
-32.568222,8,167916.472034
-34.903035,7,168117.986806
-35.674093,8,168336.052719
-35.974104,8,168549.027465
-34.198623,7,168747.86131
-34.79466,8,168956.443536
-35.607776,8,169169.490121
-35.736333,8,169409.526091
-35.318722,8,169623.673046
-34.72495,8,169843.074074
-33.924139,7,170039.964286
-32.737948,8,170248.523918
-35.961723,9,170486.007742
-33.895593,8,170737.274506
-34.325022,8,170950.513351
-33.513925,7,171151.236088
-33.827487,7,171335.017865
-35.911326,8,171557.663314
-36.328209,8,171763.709626
-35.489283,8,171985.322749
-35.381093,8,172226.903262
-33.12006,7,172431.177547
-34.771573,8,172645.493762
-36.192756,8,172864.04646
-36.124793,8,173075.893946
-34.305221,8,173289.008317
-37.040296,8,173538.671352
-35.132241,8,173763.309052
-35.294104,8,173983.404656
-33.004283,8,174201.157276
-33.384399,8,174412.992103
-34.494781,8,174621.396665
-37.619073,8,174864.072816
-35.650781,9,175119.026878
-34.022102,8,175348.733377
-34.177837,7,175538.27314
-32.022335,7,175727.362354
-33.312,8,175940.05946
-33.853034,8,176171.749773
-35.515187,8,176419.851708
-33.33362,9,176668.849867
-31.076043,7,176856.975152
-33.299564,8,177085.396522
-35.320502,8,177303.027946
-33.680735,8,177529.951476
-32.18718,7,177747.086712
-32.606958,8,177972.559764
-34.10864,8,178184.599576
-33.279927,8,178404.038807
-33.967172,8,178618.98477
-33.981958,8,178849.718234
-32.949318,7,179067.208175
-32.761335,8,179290.349
-42.542861,10,179571.243224
-35.760894,8,179804.673963
-34.331628,7,179981.585537
-33.049369,10,180262.500441
-36.181845,8,180506.189287
-32.240928,7,180701.35922
-33.726569,8,180928.808273
-31.420835,7,181128.308533
-34.165944,7,181322.028203
-34.125215,8,181550.319244
-36.793323,8,181776.257308
-33.849407,8,182023.7461
-35.371539,8,182243.768184
-33.464948,8,182474.386492
-34.678622,9,182728.182451
-34.661329,8,182953.357578
-33.424171,7,183144.036911
-34.095133,7,183368.010524
-33.357181,8,183585.861109
-31.820823,7,183772.714809
-32.330878,8,184001.169646
-31.557425,7,184201.950619
-31.797613,8,184416.260132
-32.286108,8,184639.704304
-32.937672,7,184866.917569
-32.243275,7,185067.765708
-33.206546,8,185295.436971
-35.543713,8,185519.822886
-32.964619,7,185727.136797
-34.407078,8,185951.177254
-32.181099,7,186181.553118
-30.703537,7,186379.612249
-35.294392,9,186643.490484
-32.34862,7,186834.081135
-29.791316,7,187032.334909
-33.715103,8,187247.870422
-33.004297,7,187458.429818
-31.768839,7,187688.661821
-31.399924,7,187888.501337
-34.479087,9,188151.883094
-32.853216,7,188338.063841
-34.729775,9,188593.81945
-35.234888,8,188811.994565
-33.62901,7,189013.533167
-32.813442,8,189266.648817
-33.511287,8,189490.117013
-36.409034,8,189706.329437
-34.556545,8,189931.561119
-32.639749,8,190161.720883
-31.855184,7,190365.385189
-32.304621,7,190584.229577
-33.738536,8,190816.120701
-31.965761,8,191036.352675
-36.97525,9,191287.387798
-32.831682,8,191513.664138
-34.80668,7,191713.352684
-32.154145,7,191945.575127
-34.433153,8,192167.182974
-32.984069,8,192383.558866
-36.930745,8,192628.813639
-34.421879,7,192825.531455
-33.377253,8,193046.259274
-32.762531,7,193241.07771
-34.632809,8,193499.837288
-31.991666,8,193736.473016
-35.473865,8,193961.396108
-34.262288,8,194186.495183
-31.228029,7,194386.559171
-33.803978,7,194585.647431
-37.722385,9,194872.752599
-33.410572,8,195110.30747
-32.934532,8,195323.569
-32.440088,7,195532.1394
-35.040268,8,195764.525867
-32.051948,7,195954.113432
-31.599387,7,196162.316422
-32.269319,7,196394.714188
-32.039007,7,196586.08293
-31.596483,7,196788.031669
-33.821032,7,197000.566701
-34.524128,9,197252.926432
-31.009357,7,197460.768356
-32.410205,8,197687.765183
-32.597992,7,197924.63709
-31.321607,7,198116.573056
-35.289144,10,198397.966129
-30.789759,7,198612.075051
-35.687183,9,198853.778445
-34.800499,8,199083.445501
-31.959529,7,199318.972564
-31.555984,7,199513.577752
-31.197076,7,199727.296432
