#{"t_start": 1655329382.5584176, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-305.268594,46,8236.242658
-103.962394,17,11505.470191
-9.820114,2,11772.241161
-123.350042,19,15556.273519
-124.109718,18,18695.42459
-4.170044,1,18854.942073
-78.852063,12,21242.604046
-173.77582,27,26257.369688
-5.702242,1,26464.62261
-60.878259,9,28152.640796
-1.195098,1,28264.234817
-55.207502,9,29871.226065
-208.001338,31,35561.894285
-151.000461,25,40085.217394
-284.550853,43,47848.411259
-176.70229,26,52836.017394
-293.206734,45,61464.565976
-59.512129,10,63623.015475
-558.368488,86,82743.808453
-204.081336,31,89105.963574
-88.377336,16,92280.383168
-96.450764,15,95274.184754
-60.686253,9,97020.802983
-78.168742,12,99634.87957
-17.392495,3,100186.737271
-178.289353,27,105727.926897
-61.538999,9,107730.964252
-121.518639,19,111884.794799
-78.075955,12,114465.040587
-204.989415,34,121613.266121
-43.826549,8,123145.129068
-100.387963,15,125751.900858
-42.215609,6,126696.766599
-117.362922,18,130175.98128
-84.842335,11,132174.222768
-400.146899,62,144112.817731
-10.536693,2,144426.036667
-42.570624,7,145877.401808
-114.423531,19,149422.766095
-77.684431,12,152025.318304
-14.92797,2,152370.106473
-321.802265,48,162686.4308
-496.000255,74,177943.548114
-119.14933,18,181195.328305
-30.421129,5,182123.650858
-56.893767,8,183406.785949
-260.188376,41,190659.56464
-105.730372,16,193552.165305
-262.512444,42,201704.552877
-82.326766,14,204454.349397
-213.387111,33,210692.560189
-89.317508,14,213361.020102
-123.996183,18,217120.530635
-15.492427,3,217664.564125
-198.626257,33,223904.030962
-174.607819,27,228507.137625
-271.661756,42,237316.082716
-87.630005,14,239798.002879
-38.565408,8,241213.77029
-265.520749,38,247641.317343
-70.848372,12,250184.035883
-266.707448,39,257604.293999
-150.824231,25,262279.05956
-2.469915,1,262538.221583
-160.755154,24,267750.810826
-303.640052,49,277701.178257
-29.241886,5,278753.634995
-36.19233,7,280208.318602
-40.192207,6,281402.613739
-389.545547,60,293153.106776
-86.443365,13,295504.558805
-15.461568,3,295985.290162
-10.275392,2,296473.501015
-229.032669,34,302512.952436
-369.115725,60,315005.542484
-149.211721,24,320131.921563
-79.567505,12,322434.176682
-98.783559,15,325538.832125
-118.213949,19,329595.830478
-6.364326,1,329770.235724
-11.59415,2,330119.800855
-45.037748,7,331601.54259
-194.383963,29,337401.075207
-140.109018,23,341942.725496
-126.670874,22,346413.567044
-83.183457,13,349028.509917
-404.716943,63,361939.204004
-26.874239,4,362717.525233
-38.030279,6,363939.020523
-22.835338,3,364567.076911
-212.155034,33,371024.217538
-407.720505,63,383325.132169
-69.779784,10,385381.915464
-127.20387,19,389304.012128
-85.811694,13,391828.863322
-91.47319,15,394752.897062
-233.688273,35,401921.592315
-213.08299,34,408604.5927
-80.630251,15,411710.398129
-228.892055,33,418362.976742
-91.721647,13,420939.909543
-211.717106,33,427492.31566
-53.474681,10,429733.184417
-56.074043,10,431901.971463
-86.180466,13,435116.151328
-11.891217,3,435708.58547
-60.885178,9,437424.8089
-15.216619,3,438156.572719
-205.943684,31,444782.981625
-112.683336,19,449543.562452
-336.013905,52,467095.73671
-119.05051,18,1272203.776451
-111.725654,18,1275667.336303
-102.194529,16,1278558.16353
-17.16229,3,1279081.184826
-15.659834,3,1279610.094183
-101.329488,16,1282425.015901
-157.262255,24,1286479.693773
-55.836917,9,1288105.684671
-64.838594,10,1289795.17089
-559.909113,87,1305243.841655
-42.895522,7,1306586.370794
-4.927432,1,1306676.509523
-17.397991,3,1307216.296031
-58.857932,11,1309231.967439
-248.369472,37,1315595.691842
-144.568524,21,1319317.452088
-70.736167,14,1321748.925193
-13.665534,2,1322099.117458
-58.34544,9,1323683.043183
-103.722142,18,1326943.08771
-66.668509,12,1329113.207566
-125.968418,20,1332622.56229
-222.375019,34,1338754.23116
-11.081529,2,1339063.83277
-159.890737,25,1343318.964142
-189.758555,28,1348658.727875
-44.720297,8,1350022.089403
-127.290809,20,1353648.834246
-161.790939,23,1357867.433238
-25.965745,4,1358638.409027
-199.118742,32,1364249.148956
-30.254884,5,1365170.800927
-116.31496,17,1368362.53298
-120.30051,20,1372207.583195
-75.186638,14,1374913.342933
-53.308913,7,1376377.914401
-39.918552,6,1377553.324108
-145.936315,22,1382256.387056
-118.48028,18,1386086.980697
-39.510839,7,1387542.447056
-94.547823,15,1390719.148811
-91.032471,14,1393687.173852
-32.444386,6,1395014.46098
-303.160881,47,1404661.30726
-225.749994,36,1412030.758416
-47.977105,7,1413526.829269
-238.989111,38,1421354.076456
-2.468511,1,1421486.570115
-111.664436,18,1425229.686436
-339.15583,53,1435788.947381
-162.536327,26,1440803.566119
-106.296944,15,1443543.681937
-4.134189,1,1443772.044127
-330.606473,50,1453274.157991
-375.756353,58,1464374.168762
-507.042501,78,1477959.399776
-381.756751,56,1487165.793387
-284.317316,43,1494389.746623
-14.255161,2,1494696.021617
-134.074508,21,1498229.93099
-19.641116,3,1498796.103574
-51.572459,9,1500164.465132
-428.580762,66,1511225.575875
-48.989092,8,1512630.585373
-77.469677,13,1514687.549883
-117.221327,17,1517609.175657
-87.377785,13,1519774.902715
-207.944046,33,1525646.48152
-417.936204,62,1537353.78961
