#{"t_start": 1658871392.3674142, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-413.680447,51,754.70382
-418.13375,51,1816.308819
-417.093667,51,3043.711077
-411.266845,51,4351.692636
-409.699524,51,5663.191164
-401.067582,51,6990.421943
-415.841498,51,8353.247139
-413.701883,51,9685.073689
-415.90793,51,11109.138931
-413.142075,51,12700.494708
-385.772966,51,14266.247466
-409.975066,51,15902.336335
-411.336276,51,17343.066055
-414.646232,51,18895.824538
-418.273977,51,20309.974226
-418.660499,51,21617.714767
-400.444149,51,22981.592498
-397.159335,51,24224.615129
-406.100891,51,25420.982878
-417.046687,51,26610.996078
-416.357125,51,27810.83385
-403.117827,51,29030.305344
-413.893922,51,30248.060646
-387.554017,51,31448.913016
-395.082454,51,32649.705724
-416.334217,51,33871.286086
-411.462151,51,35035.498455
-404.226651,51,36189.844019
-404.99528,51,37399.443974
-419.541807,51,38579.723408
-366.662641,51,39751.669534
-369.483665,51,40911.660344
-411.222907,51,42100.561697
-403.64636,51,43287.13103
-405.553838,51,44486.705443
-385.635925,51,45671.904594
-416.206706,51,46835.456151
-367.31706,51,48013.560502
-355.237157,51,48618.284405
-369.020557,51,49827.181241
-376.410703,51,51003.55928
-372.830397,51,52193.635786
-401.883957,51,53408.064027
-373.897052,51,54604.564564
-369.208573,51,55760.265931
-410.150822,51,57027.079012
-365.164452,51,58235.437361
-378.166513,51,59440.734234
-414.109252,51,60625.146844
-358.963498,51,61828.398797
-401.497429,51,63060.443066
-362.805132,51,64270.500395
-374.554997,51,65469.793891
-372.106306,51,66662.138839
-320.242626,51,67872.481428
-326.472743,51,68534.057808
-382.372375,51,69344.460662
-375.354194,51,70545.274767
-304.056823,51,71809.298132
-330.741049,51,73052.084806
-367.188629,51,74276.675088
-359.175305,51,75513.130329
-370.60486,51,76765.631588
-328.617306,51,77973.457968
-311.693057,51,79170.493957
-340.86872,51,80361.037159
-346.772475,51,81561.210428
-320.063771,51,82731.122161
-336.460849,51,83903.535525
-304.597441,51,85102.7555
-328.538285,51,86312.83209
-307.215214,51,87522.053539
-293.973462,51,88655.890824
-352.81567,51,89820.616662
-295.503949,51,91008.617743
-294.003732,51,92240.660823
-304.034278,51,93455.783221
-361.779912,51,94637.703275
-277.164309,51,95840.249808
-307.940122,51,97036.34138
-315.065549,51,98204.053172
-313.821623,51,99401.91927
-292.646112,51,100606.390163
-91.666249,16,100971.832917
-325.253026,51,102160.161759
-308.874566,51,103395.540014
-289.804135,51,104583.795344
-287.13678,51,105776.906315
-277.596382,51,106975.430492
-303.909991,51,108185.100944
-271.082159,51,109379.08676
-309.619682,51,110606.65216
-271.480084,51,111816.774645
-259.228965,51,113020.359792
-287.570176,51,114225.104855
-170.811937,36,115075.541658
-307.317584,51,116287.607058
-259.930216,51,117552.224236
-279.938062,51,118774.097234
-266.431287,51,119967.48156
-242.988157,51,121237.213361
-277.546564,51,122450.375753
-254.851076,51,123737.675337
-281.917388,51,124977.35664
-264.614036,51,126202.119356
-225.610123,50,127407.036143
-261.657545,51,128636.8332
-261.931817,51,129869.134426
-230.074247,51,131104.492727
-149.45443,29,131767.838548
-236.779193,44,132833.903708
-253.186788,51,134041.057728
-224.372343,51,135246.414137
-105.059744,22,135781.755733
-142.517679,32,136560.429403
-117.154042,20,137054.419472
-100.413088,17,137458.767724
-144.838695,33,137969.14542
-168.393637,35,138726.368195
-131.433,27,139664.880949
-177.606209,39,140602.041252
-127.317069,30,141310.279298
-116.589252,27,141970.152968
-80.608971,14,142275.411942
-122.169406,28,142968.233301
-142.767641,30,143679.790224
-126.636094,30,144423.739436
-111.814064,23,144967.180443
-63.085065,12,145301.753852
-105.130894,26,145895.661741
-161.102552,41,146895.404674
-79.71388,14,147224.091326
-88.156105,17,147629.207711
-67.77642,18,148101.397611
-63.62809,13,148401.947416
-60.490546,13,148720.933179
-71.646017,14,149093.26902
-81.493914,16,149478.49199
-90.5168,16,149849.972627
-70.225928,15,150255.857168
-80.047843,16,150620.756461
-66.255643,12,150912.191765
-80.601256,16,151277.301625
-98.024449,20,151793.955266
-95.907297,17,152181.832012
-63.061609,12,152472.46383
-70.854711,14,152841.697424
-93.254526,18,153274.649461
-91.60445,17,153669.455532
-58.405551,11,153952.90169
-60.868276,12,154248.748202
-58.892905,11,154499.065611
-63.158747,13,154817.102321
-62.011683,13,155158.776663
-67.946178,14,155494.861717
-57.228014,12,155794.765608
-71.891146,14,156116.218449
-66.84403,15,156510.155272
-66.978308,13,156818.504046
-71.906503,16,157195.533777
-47.795005,12,157520.267042
-71.139836,14,157857.858459
-72.836096,14,158200.175986
-62.268656,13,158507.879908
-69.950176,17,158966.064162
-69.422193,13,159282.43259
-73.851159,14,159625.812295
-81.818789,15,160013.970235
-53.40439,11,160274.378361
-63.903632,12,160569.267569
-72.946642,15,160932.019453
-62.576769,12,161258.955155
-60.950688,13,161581.167068
-64.485521,13,161885.247242
-72.940306,14,162229.900888
-51.602096,10,162512.641422
-60.583776,12,162801.051471
-48.927585,10,163050.639997
-56.392394,10,163287.440716
-56.827621,11,163561.018945
