#{"t_start": 1655329010.1682537, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-4.143093,1,127.701281
-518.144295,81,20186.902835
-256.337863,38,31008.631088
-188.774153,29,39584.393175
-19.910312,3,40467.020474
-73.739455,12,43913.127537
-11.305125,2,44401.462342
-34.074091,6,46206.672675
-264.831307,40,55477.00965
-276.685018,40,65711.729319
-53.225232,8,67863.38273
-109.688171,16,72464.744981
-167.984615,25,79570.884152
-440.24587,65,98166.78941
-24.669765,4,99446.580724
-64.360631,9,102788.724715
-336.493482,50,120571.119501
-201.692968,30,126850.973851
-59.669929,9,128782.51072
-29.580607,4,129755.402326
-265.103853,42,140687.694039
-178.802208,27,148417.812277
-482.067364,73,167536.608154
-32.935748,5,168533.223469
-51.708836,9,170496.336612
-12.93047,3,171253.381488
-56.806608,9,173390.158956
-119.381698,18,178328.496303
-200.634752,29,186099.197181
-144.66616,21,191427.249144
-334.898157,50,203766.002627
-675.504902,103,228664.382759
-161.17072,24,234994.238128
-6.077103,2,235656.634558
-22.355719,4,236831.659948
-182.597984,29,244310.86085
-90.089933,13,247746.063034
-57.519836,9,249997.382653
-168.452088,26,256064.404222
-57.486722,10,258153.416487
-147.170891,22,263979.497448
-71.485292,11,266916.42829
-124.541332,19,271627.047916
-50.003711,8,273535.194756
-94.306231,16,277537.825792
-216.427777,31,285133.773711
-4.993656,1,285438.489289
-86.903266,13,288025.931184
-116.703063,19,291540.312345
-183.132319,26,296935.615753
-125.708158,20,300829.603387
-48.284379,7,302107.301324
-117.705204,17,305233.166969
-9.776284,2,305620.286013
-34.680183,7,307046.490963
-182.058905,26,311958.235168
-152.974979,23,316454.087243
-180.003377,29,322039.532945
-84.887727,14,324772.540179
-79.002932,13,327369.936582
-52.369587,8,328847.918803
-269.701039,40,336157.696296
-344.432821,51,345701.352884
-5.286397,1,345860.516977
-25.970036,4,346623.150166
-3.602531,1,346835.390819
-32.549519,5,347673.661424
-227.573209,34,354168.538567
-13.743345,3,354672.208178
-325.311529,51,364201.08222
-131.035413,19,367656.005553
-97.422157,18,371027.280648
-136.379086,23,375363.63294
-1.088305,1,375482.948619
-82.375924,13,377843.486413
-11.872971,3,378488.834584
-38.607088,7,379737.742335
-131.625119,22,383712.957939
-260.90149,37,390583.135056
-119.335962,19,394540.407754
-37.507252,7,396408.418859
-149.388428,23,402259.214236
-110.820621,18,406750.378419
-79.071556,14,410312.057489
-47.921243,9,412638.824416
-229.390635,33,420743.709461
-73.908684,13,424068.905882
-152.623086,23,429959.665941
-7.215378,2,430467.855307
-236.113811,35,438250.358557
-2.398885,1,438425.298839
-155.242386,25,444677.842923
-125.13885,20,454724.741064
-144.587654,22,460430.507062
-195.064204,29,467710.401165
-214.583261,33,476166.154717
-18.5469,3,476889.677696
-571.414553,86,571605.764912
-202.494364,30,578922.921185
-89.469841,13,582572.21829
-265.998393,40,593290.855865
-398.295859,61,608432.288675
-192.734475,29,616023.98554
-231.642314,34,624875.947071
-469.822012,70,640959.515486
-13.308714,3,641584.280997
-15.398803,3,642186.178671
-63.251827,9,644093.644259
-321.804013,50,658715.858149
-14.589081,3,659541.830557
-42.798994,7,661563.551736
-22.790898,5,663182.042315
-57.660753,9,665929.454146
-174.354437,30,674644.870527
-97.749121,15,679415.477284
-471.036815,71,699688.35572
-416.427779,62,717581.347109
-407.119178,64,736766.343563
-10.937031,2,737420.71114
-460.827946,70,758378.412562
-255.050232,38,768989.034236
-79.982225,15,772584.897903
-182.139338,27,779284.386463
-220.963895,34,787238.879737
-76.21915,12,789988.625111
-33.608778,5,791104.392244
-19.264659,3,791790.361747
-170.597674,27,798025.983549
-36.548014,6,799315.664534
-101.972504,16,802915.482429
-32.543719,6,804438.690607
-77.163202,12,807421.619023
-235.259197,35,816433.127303
-146.900869,25,823212.54257
-39.135506,6,824584.684428
-136.419372,20,829207.610547
-136.03368,21,834444.579999
-199.871149,33,843575.221394
-235.538832,36,853652.075266
-1.765203,1,853984.696285
-57.591766,10,856803.998563
-104.348613,16,861571.779111
-46.169718,7,863669.709114
-87.225484,13,867114.650329
-27.729389,4,868279.960812
-84.880839,13,871886.93953
-242.246958,36,881413.696372
-38.873938,6,882833.892241
-383.135242,56,895351.469449
-12.314057,3,895956.509105
-17.246917,3,896702.407142
-3.965244,1,896889.139542
-249.406504,35,904531.466586
-29.057051,5,905544.680598
-54.626678,9,907446.069298
-497.549523,74,923734.879269
-393.50445,61,937005.051671
-70.556885,10,939069.686221
-232.845365,38,947627.277149
-217.072048,32,954572.196915
-46.1254,9,956606.255371
-63.141219,11,959083.390081
-49.874479,8,960954.099278
-39.699173,6,962246.911295
-2.219912,1,962516.542459
-4.799008,1,962706.32131
-3.142383,1,962954.253153
-230.926754,35,970438.385267
-76.558051,11,972836.472709
-93.478858,15,976223.659104
-329.471079,49,987039.828198
-93.87977,13,989918.67175
-93.721256,14,992962.768717
-11.028508,3,993638.655535
-147.240545,23,998838.791095
-257.828119,36,1006359.52652
-219.651523,36,1014295.684188
-29.196752,6,1015577.708441
-111.070384,17,1019339.956221
-202.689514,31,1025835.020114
-0.955899,1,1026057.480787
-2.63761,1,1026246.057582
-5.592939,1,1026476.909957
-47.279856,10,1028610.14711
-396.297401,60,1044291.510247
-576.435619,88,1071722.609381
-6.901395,1,1072005.590873
-34.787968,5,1073650.123178
-199.923513,32,1084311.777601
-65.886296,10,1087918.044307
-41.581069,6,1090187.012163
-107.161943,17,1097227.633614
-408.291621,60,1126064.228424
-54.142567,9,1144244.890912
-63.588073,11,1164349.306776
-480.42115,73,1209855.665183
-215.739267,33,1215907.094641
-59.011722,8,1217384.350093
-5.151858,1,1217518.459839
-12.806588,2,1217858.706666
-254.509597,39,1225022.18659
-231.807613,35,1231420.435856
-8.928962,2,1231823.115944
-61.938556,11,1233785.779083
-138.556915,23,1237967.911597
-60.393199,10,1239946.556378
-213.568807,31,1245691.383595
-102.795194,16,1248616.778362
-75.998812,11,1250541.969864
-45.829116,6,1251672.855455
-86.455753,13,1254007.579241
-16.750433,3,1254566.396899
-9.477976,2,1254897.698117
-113.460143,17,1258095.625994
-99.525964,14,1260701.727618
-253.192748,39,1268026.598569
-32.487594,5,1268963.03548
-36.637774,7,1270378.820852
-82.924683,13,1272784.302915
-140.328765,21,1276775.023104
-170.307525,30,1282119.218496
-271.485443,40,1289213.205155
-3.709715,1,1289362.720379
-222.695051,35,1295895.897189
-38.806963,7,1297073.677487
-217.458465,35,1303443.642853
-176.32606,27,1308372.648357
-59.782592,10,1310238.660259
-185.447747,30,1315884.255914
-3.466229,1,1316088.254027
-62.851708,11,1318125.827225
-18.144793,3,1318663.773351
-284.805523,43,1326496.727921
-24.255394,4,1327168.866539
-70.64608,11,1329132.874862
-5.887874,1,1329282.14419
-19.963106,3,1329836.491419
-14.155249,3,1330398.552777
-23.894934,4,1331054.433892
-175.877509,25,1335570.279747
-43.273921,9,1337313.635717
-51.397304,9,1338845.913395
-20.328237,4,1339584.289407
-79.837751,12,1341790.799339
-33.441738,6,1342864.780676
-94.892607,13,1345211.27539
-23.979394,5,1346215.920484
-2.449732,1,1346322.590424
-44.842496,7,1347509.366646
-210.176655,36,1353809.895708
-104.04034,17,1356784.526259
-75.357368,11,1358765.819064
-162.391581,25,1363437.487582
-161.480643,26,1368183.868817
-98.19677,15,1370891.02613
-506.602822,75,1384338.095917
-67.909904,10,1386195.332956
