#{"t_start": 1655306991.6623268, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-7495.746794,1001,216.086228
-7289.98049,1001,421.290461
-7215.109449,1001,625.77197
-7595.213342,1001,832.753421
-7032.867519,1001,1146.108346
-7040.032747,1001,1356.068814
-7879.495612,1001,1548.243832
-7274.23667,1001,1742.805948
-7391.251882,1001,1941.160692
-7003.927816,1001,2226.485529
-8011.875445,1001,2419.012097
-7653.545986,1001,2615.656423
-6746.519824,1001,2812.742097
-7254.456036,1001,3008.773437
-7071.435873,1001,3292.819521
-7699.328245,1001,3488.088127
-7304.451634,1001,3684.610519
-7112.656114,1001,3879.570269
-7453.186748,1001,4073.99056
-6935.363484,1001,4337.763902
-7200.89294,1001,4512.464006
-8012.813669,1001,4690.688728
-8044.192315,1001,4868.570697
-6788.695931,1001,5047.608307
-7848.683763,1001,5291.70283
-6919.957651,1001,5468.353565
-7609.563297,1001,5644.496886
-7257.396038,1001,5822.289141
-7302.714191,1001,6000.155232
-7847.307347,1001,6243.164366
-6637.846619,1001,6415.678803
-6777.003993,1001,6588.885881
-7136.221681,1001,6760.862058
-7475.41568,1001,6931.741226
-6857.875812,1001,7169.93127
-7768.209428,1001,7341.985527
-7278.072453,1001,7513.302163
-7877.288748,1001,7685.20647
-6829.282449,1001,7856.86089
-6696.290217,1001,8094.201127
-7132.505841,1001,8267.231096
-6893.46549,1001,8440.455882
-7487.053947,1001,8612.805009
-7505.531848,1001,8783.432001
-7936.694458,1001,9026.096601
-6956.925247,1001,9199.534921
-7778.890276,1001,9372.721819
-7476.243352,1001,9544.362431
-6642.480632,1001,9718.314999
-7398.359431,1001,9964.091595
-6656.576673,1001,10137.087464
-7012.444813,1001,10308.908127
-7351.212878,1001,10483.818196
-6975.812611,1001,10657.880671
-7312.606755,1001,10900.628953
-7018.029011,1001,11072.353477
-7206.015161,1001,11244.915829
-7755.780461,1001,11418.862391
-7404.445309,1001,11591.914629
-6890.939409,1001,11832.124583
-7051.806002,1001,12010.678509
-7443.250747,1001,12182.845817
-6963.167245,1001,12355.649118
-7539.090639,1001,12532.410006
-7554.531811,1001,12778.343189
-6511.126233,984,12949.702531
-7971.378001,1001,13121.640098
-7175.256488,1001,13296.08647
-6949.304893,1001,13467.42784
-6927.23462,1001,13707.572428
-7595.461877,1001,13882.375489
-7126.105017,1001,14064.835266
-7430.652155,1001,14236.4851
-7337.194747,1001,14416.573649
-6726.054874,1001,14654.79508
-6661.109474,1001,14830.148361
-7072.298674,1001,15003.575118
-6690.266158,1001,15178.348282
-6841.564886,1001,15352.443803
-7252.064449,1001,15594.31592
-6265.480968,965,15761.274451
-6927.880473,1001,15934.837537
-6745.985802,1001,16117.193615
-6749.085163,1001,16292.284558
-7136.226571,1001,16546.043533
-6752.447561,1001,16717.762522
-6309.16197,984,16886.439413
-6505.279939,998,17056.945281
-6764.738117,1001,17228.460742
-6598.395871,1001,17474.248507
-6669.361213,1001,17650.120527
-6337.487773,959,17817.180852
-6653.216275,1001,17988.831149
-7630.98565,1001,18175.646608
-7000.688456,1001,18350.097968
-6956.839939,1001,18587.271831
-6782.195724,1001,18763.727046
-6134.96213,947,18938.078937
-6840.886344,1001,19133.783481
-6727.597689,1001,19332.911075
-6438.680043,994,19610.397989
-6980.905401,1001,19793.654929
-6412.411631,972,19980.199342
-6417.35322,985,20149.303812
-6233.328036,960,20314.434047
-6350.472609,970,20567.861042
-6120.600519,963,20732.215676
-6199.457212,963,20909.274959
-6312.07133,962,21076.204192
-6235.050013,955,21242.219166
-6338.913411,993,21489.945991
-6779.698301,1001,21666.628875
-6556.490759,1001,21852.741837
-6154.741318,958,22018.857257
-6715.633597,1001,22196.432354
-6172.559664,960,22446.723892
-6242.142441,978,22618.260159
-6267.705102,977,22809.006397
-5970.793677,946,22981.873583
-6444.912114,999,23158.987446
-6091.234148,949,23412.296117
-6459.219996,995,23585.020478
-6952.878143,1001,23771.835927
-6000.823114,926,23935.179682
-6193.547774,959,24102.277495
-5945.199124,927,24343.890334
-6127.109218,945,24513.828636
-6218.593671,982,24716.509512
-6183.48951,947,24893.664146
-6195.882931,957,25078.673456
-6106.721187,948,25352.874936
-6071.963471,932,25535.920476
-6002.446024,929,25722.911333
-5985.703565,927,25893.281424
-6011.633179,944,26067.184322
-6023.99281,935,26242.600569
-6380.890764,986,26517.39667
-5906.866115,935,26702.692206
-6359.825282,975,26893.18542
-6388.840759,981,27066.882936
-5878.677978,916,27238.915961
-6090.070668,936,27499.606712
-5745.180085,905,27674.398539
-5939.304228,932,27861.251627
-5801.843098,918,28023.849583
-5987.293685,938,28188.192942
-6034.20281,957,28437.861703
-5928.26837,927,28607.520297
-5890.875108,927,28789.365854
-5833.661458,910,28955.888657
-6087.419735,949,29129.324436
-5938.593051,929,29299.897057
-5991.403603,934,29549.501624
-5877.025879,921,29731.279225
-6034.075621,941,29902.122951
-5915.229252,935,30073.798946
-5916.350389,933,30239.890188
-5824.343992,924,30478.074136
-5955.415946,940,30644.677145
-5581.740731,881,30813.928312
-5844.197509,922,30978.965973
-5886.256968,921,31141.64595
-5828.45886,915,31304.003451
-5708.823632,900,31538.78865
-5720.758516,900,31712.778266
-5742.360079,910,31873.407182
-5748.000868,899,32032.314669
-5951.17255,924,32194.417442
-5875.297073,927,32441.973953
-5651.527092,893,32613.3236
-5895.548675,934,32797.783592
-5733.551137,901,32967.197195
-5804.516536,914,33140.517417
-5998.961191,946,33320.289058
-5878.507691,920,33582.760428
-5869.287787,926,33770.351511
-5943.684757,938,33948.679943
-5654.487773,893,34114.546121
-5810.683266,913,34282.590048
-5968.726916,938,34537.803572
-5660.977814,898,34716.663542
-5725.712021,902,34885.097665
-5732.245143,910,35054.304797
-5598.672557,884,35219.319877
-5435.543474,860,35378.087754
-5650.807121,894,35627.862062
-5931.95338,930,35808.029542
-5593.124038,891,35974.839314
-5788.849914,915,36148.794452
-5782.551032,919,36320.646039
-5484.775353,860,36566.430379
-5549.139683,876,36743.127176
-5632.087294,884,36901.850583
-5676.236431,892,37062.856657
-5720.738931,909,37225.885104
-5593.795031,883,37385.590419
-5539.938016,869,37630.388586
-5848.265968,919,37808.822953
-5744.067488,902,37974.561838
-5660.833385,885,38136.991934
-5520.840738,880,38301.313365
-5657.095757,888,38550.179335
-5703.764884,898,38727.642637
-5603.381011,888,38888.275679
-5506.773808,877,39047.781793
-5529.069487,870,39206.803071
-5565.599108,884,39369.943844
-5723.034245,906,39620.275486
-5534.766834,875,39790.467349
-5915.76002,928,39954.136533
-5519.253863,868,40107.864982
-5590.737549,884,40262.462176
-5576.11132,881,40416.517784
-5561.186717,879,40656.214318
-5602.24274,886,40826.853847
-5500.826723,864,40979.301778
-5569.345854,892,41137.281277
-5635.386064,893,41296.297329
-5657.650412,882,41530.802071
-5431.854846,856,41695.711072
-5552.646329,873,41850.869711
-5448.211398,876,42010.48953
-5558.611891,877,42167.913372
-5530.333661,873,42322.612108
-5550.509852,870,42555.697749
-5299.806676,836,42717.566325
-5350.859144,849,42870.177751
-5412.968923,858,43022.195333
-5300.158813,839,43168.721425
-5649.684752,897,43330.640413
-5450.773276,857,43571.903836
-5621.402127,891,43734.162398
-5420.638881,852,43886.084238
-5243.280822,831,44032.907057
-5328.307328,841,44182.023967
-5434.425535,857,44334.231194
-5344.804856,851,44573.027617
-5375.262305,847,44723.278153
-5369.487883,851,44876.111375
-5400.973824,852,45024.653142
-5533.567914,878,45178.857889
-5459.876887,863,45330.122944
-5249.599792,833,45567.327158
-5430.858305,847,45715.330108
-5569.21102,873,45868.688789
-5233.826135,831,46013.235767
-5299.12878,845,46160.170425
-5394.298585,855,46384.137076
-5397.128508,850,46546.838489
-5333.315833,847,46693.77591
-5317.440732,836,46840.79801
-5383.001332,855,46992.336407
-5348.209725,848,47143.920435
-5335.591154,840,47372.892616
-5456.69264,854,47535.078702
-5232.910286,824,47680.528716
-5270.3296,827,47827.669203
-5298.851159,830,47976.00571
-5569.454975,873,48130.684275
-5238.859153,828,48354.585477
-5229.415135,828,48510.947212
-5263.273551,828,48665.851809
-5489.769459,867,48829.586843
-5072.638467,801,48981.479424
-5426.122215,857,49144.523625
-5210.521162,820,49399.025025
-5197.012299,822,49574.788703
-5027.432686,797,49735.044485
-5148.405042,809,49889.813258
-5129.97452,808,50045.316733
-5211.237668,821,50204.173006
-5162.152783,814,50363.017492
-5112.400648,811,50610.251793
-4991.023795,794,50769.457207
-5107.2435,803,50932.920943
-5165.712173,812,51094.274401
-5203.617511,814,51252.799722
-5260.233125,836,51415.392644
-5151.34309,814,51670.889216
-5025.787569,789,51834.2316
-5067.878693,802,51992.302077
-5051.292037,799,52144.358447
-5136.215107,815,52301.096011
-5145.361119,813,52455.283597
-5113.878336,807,52701.010345
-5027.17635,792,52869.174784
-5114.987325,812,53028.376436
-5169.183467,813,53183.192083
-5127.192419,803,53348.533974
-5107.675376,807,53511.769624
-5138.705399,813,53759.987835
-4870.77057,772,53928.716216
-5030.852743,791,54081.924464
-5071.000753,799,54236.285964
-5206.853873,818,54393.878752
-5077.23773,805,54550.458056
-5074.5613,802,54809.811602
-4882.3097,778,54977.826968
-5025.727629,796,55136.017964
-4986.631499,789,55289.533424
-4995.496104,784,55445.22458
-4932.928094,784,55596.173296
-5020.921371,796,55752.892169
-4999.403933,786,56024.851775
-4982.734317,790,56187.63219
-5010.900273,788,56344.728373
-4880.113364,778,56485.890664
-4993.539229,788,56629.578585
-4917.830302,781,56769.709552
-4838.872041,770,56987.364135
-4965.449076,789,57136.037255
-4901.212496,778,57269.76684
-4899.482918,781,57406.974616
-4918.244619,778,57567.089238
-4935.712462,784,57735.39617
-4811.561173,773,58019.338542
-4948.14485,785,58203.793351
-4900.553189,782,58365.634651
-4818.492527,766,58525.802387
-4964.848761,785,58688.642977
-4890.327633,781,58851.793025
-4919.512525,781,59012.575368
-4990.313157,783,59333.381576
-4914.922194,785,59506.373169
-4827.556674,778,59670.691714
-4977.362626,787,59837.60853
-4764.514985,757,59999.850546
-4912.26996,776,60167.886097
-4938.432745,785,60470.673139
-4882.236825,780,60662.870583
-4752.774886,755,60824.564057
-4772.583388,761,60985.417217
-4942.715633,770,61147.921942
-4965.449112,783,61312.249646
-4872.70399,774,61476.126717
-4868.185043,773,61791.372867
-4858.126775,769,61963.429649
-4818.729592,773,62126.078987
-4819.952665,771,62290.780951
-4835.269124,768,62457.517813
-4860.314587,777,62627.527627
-4878.432777,774,62939.177239
-4779.351864,765,63120.209639
-4777.46258,764,63280.844164
-4881.908696,773,63446.190284
-4783.280919,759,63612.281844
-4700.175065,753,63774.884229
-4866.253914,776,63942.804931
-4743.752689,758,64374.757511
-4712.335847,747,64536.91735
-4792.008938,768,64703.44334
-4719.304361,762,64867.776209
-4702.803927,753,65033.552085
-4720.605924,761,65196.782774
-4703.257781,760,65582.35842
-4660.637962,746,65756.788081
-4828.025169,771,65920.761035
-4664.85053,751,66082.415223
-4768.610688,770,66244.425627
-4685.469332,751,66404.288446
-4746.391178,763,66570.59022
-4738.79383,761,67079.883011
-4780.813845,769,67250.52952
-4649.932688,742,67410.242273
-4699.415981,748,67573.760497
-4738.911193,753,67737.413965
-4622.799266,744,67898.88605
-4781.342671,766,68063.524737
-4639.452511,745,68709.404413
-4689.67573,756,68874.958676
-4676.174255,753,69037.999268
-4714.878199,752,69194.028182
-4888.579035,785,69368.870696
-4628.174552,741,69536.147523
-4775.096372,763,69896.738052
-4633.145918,742,70064.16357
-4753.663675,769,70232.49752
-4659.770905,754,70399.15536
-4701.802239,757,70564.857306
-4660.344876,755,70723.701802
-4634.467731,742,70890.363364
-4736.259665,749,71202.813367
-4646.442147,747,71348.060509
-4710.625163,758,71482.836169
-4696.765409,750,71626.191752
-4728.479539,751,71769.997498
-4658.691244,751,71915.145368
-4672.954517,749,72047.002598
-4654.651797,751,72277.487178
-4748.556719,761,72419.890467
-4590.844935,741,72563.032416
-4661.727078,749,72697.239636
-4658.213256,753,72842.69495
-4663.245882,752,72985.718396
-4633.515329,749,73209.444612
-4608.177124,741,73349.325791
-4670.441286,749,73493.174666
-4638.291947,748,73636.077383
-4550.954525,728,73773.781345
-4686.42041,756,73911.689298
-4686.052245,752,74055.478984
-4614.551824,737,74286.134235
-4666.61408,746,74436.187169
-4740.52248,766,74574.060333
-4594.310093,743,74714.124663
-4657.058474,746,74857.123986
-4645.673164,743,74998.113353
-4674.683823,755,75133.202642
-4635.938232,749,75358.578825
-4613.358115,747,75518.552333
-4657.023935,749,75663.496001
-4645.370613,750,75797.259847
-4627.458578,739,75936.828806
-4666.790157,741,76078.035555
-4636.001913,749,76297.924315
-4585.180258,735,76429.042377
-4621.951435,744,76569.540782
-4629.027952,751,76706.57585
-4731.48687,759,76836.548663
-4589.325696,743,76963.608019
-4618.607689,756,77093.355657
-4579.747316,741,77290.933745
-4617.340036,744,77430.424907
-4569.205131,738,77574.649146
-4527.741336,732,77714.56923
-4629.800962,748,77849.445777
-4603.366085,736,77986.32673
-4639.281877,751,78118.693368
-4584.758585,737,78337.332395
-4547.966298,738,78482.777214
-4572.464738,730,78612.848169
-4588.267359,739,78745.008085
-4563.84375,737,78878.053502
-4564.051418,738,79014.272256
-4570.664713,732,79147.175479
-4550.715944,737,79360.447516
-4634.460346,743,79508.391337
-4612.555022,748,79643.225627
-4590.074959,744,79777.368392
-4547.636605,743,79912.486356
-4513.266919,725,80044.165619
