#{"t_start": 1658871393.126297, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-803.255715,101,3505.680571
-806.413592,101,8359.21552
-811.393724,101,13433.087615
-820.649736,101,18615.475868
-786.076578,101,23728.74583
-787.638812,101,28887.986529
-815.777746,101,34163.709565
-808.554544,101,39445.265847
-791.476066,101,44870.848945
-782.565422,101,50426.878969
-789.986954,101,56039.440496
-794.161237,101,61581.404915
-811.758667,101,66472.774056
-803.795226,101,70943.065234
-815.013582,101,76624.394441
-822.445683,101,82167.277328
-802.895792,101,87950.982214
-802.408841,101,93608.537944
-807.321994,101,99181.508928
-817.985768,101,104560.894654
-826.997495,101,110383.766071
-808.330352,101,116076.384509
-784.979763,101,121932.322386
-819.408018,101,127616.304425
-794.525631,101,133451.056729
-814.938732,101,139470.035722
-816.797578,101,145307.336394
-810.514971,101,151112.591579
-806.204152,101,156999.910004
-810.677073,101,162712.243848
-810.848513,101,168514.665786
-811.982121,101,174377.405227
-816.467334,101,180212.6511
-802.157136,101,185881.609164
-791.655752,101,191395.945244
-810.668794,101,196960.865197
-822.900572,101,202540.453168
-784.737739,101,208228.068437
-794.444563,101,213782.668065
-813.066153,101,218729.905023
-795.147492,101,220487.974733
-801.022075,101,222168.154259
-806.411438,101,223922.937569
-808.216666,101,225619.791301
-774.336663,101,227207.95356
-792.898664,101,228815.246009
-788.341976,101,230481.296011
-747.871361,101,232151.025157
-801.021265,101,233826.451302
-806.368367,101,235483.085876
-775.717795,101,237177.9255
-790.329873,101,238814.188318
-784.043642,101,240395.333209
-798.417035,101,241977.691106
-757.395211,101,243552.210849
-736.522749,101,245123.799311
-799.297211,101,246670.983886
-794.214881,101,248303.430861
-806.474266,101,249950.294045
-762.170685,101,251597.36545
-779.819548,101,253315.639369
-792.460457,101,255049.944934
-744.171555,101,256814.992532
-800.913317,101,258410.482761
-805.52778,101,260047.228869
-788.543636,101,261660.06565
-782.161232,101,263293.983925
-790.266193,101,264928.885113
-724.663957,101,266537.363703
-757.880289,101,268167.786774
-805.117314,101,269808.767121
-761.518992,101,271437.20423
-780.800044,101,273061.039446
-709.378823,101,274712.824052
-733.000128,101,276338.826736
-743.391647,101,277990.299845
-753.936504,101,279655.317892
-721.540755,101,281278.252353
-677.065628,101,282927.70481
-730.218169,101,284584.545804
-623.278303,101,286209.13372
-708.915833,101,287841.481642
-546.540939,89,289310.175751
-734.740689,101,290936.702282
-705.154275,101,292585.329229
-712.636321,101,294231.009341
-665.253254,101,295874.51369
-649.939673,101,297515.679553
-658.838258,101,299143.931219
-629.5361,101,300794.983959
-719.72805,101,302462.077579
-545.459535,101,304097.820637
-362.935946,55,305001.481785
-228.378194,40,305652.944866
-154.870612,26,306070.33593
-102.815304,17,306366.420709
-195.383503,34,306938.087941
-288.092988,51,307773.50175
-317.786195,56,308682.587975
-53.112653,9,308851.442339
-206.031571,33,309396.301382
-103.514841,17,309673.52777
-89.593735,16,309923.529491
-317.618091,54,310794.187349
-135.642731,22,311154.566598
-176.933205,28,311612.351474
-401.19812,70,312763.165701
-50.120446,8,312893.97172
-151.420375,25,313312.461389
-120.726106,21,313644.00581
-99.278598,16,313918.897738
-51.850696,8,314038.670183
-174.239052,28,314500.323013
-330.095739,52,315348.868495
-99.289032,16,315604.250705
-78.326486,16,315861.365572
-103.464089,17,316150.823715
-79.611692,15,316398.197382
-133.362637,24,316782.457131
-58.540184,9,316934.056863
-132.78873,19,317250.078439
-114.982471,19,317557.931648
-79.744217,13,317782.474555
-74.986437,13,317986.067861
-246.712066,44,318710.915936
-111.536607,17,318988.845186
-43.265784,8,319115.529199
-80.074008,12,319312.549312
-46.283706,7,319423.968633
-101.940315,15,319669.501916
-58.770078,10,319828.4634
-124.189858,20,320160.890689
-54.170747,8,320288.808208
-157.609936,31,320785.936161
-105.115147,19,321084.489095
-68.000716,11,321268.539658
-117.633421,17,321549.512262
-89.140076,13,321756.207093
-95.309498,17,322017.088795
-57.064626,10,322170.591491
-70.096311,11,322351.930649
-69.353123,10,322527.637595
-61.121925,9,322665.572251
-52.038011,9,322815.894419
-96.514314,13,323035.728974
-58.695386,9,323187.018425
-34.525561,6,323280.423419
-72.366125,11,323458.860493
-75.103315,12,323647.66772
-88.989649,13,323857.482831
-62.532767,10,324024.240625
-122.597658,17,324295.737816
-51.532168,8,324427.652986
-43.859293,7,324531.610629
-40.779787,7,324652.310168
-43.334789,9,324795.28156
-55.093708,9,324937.239048
-88.518835,13,325154.767028
-48.471985,8,325287.223129
-40.812558,7,325401.49994
-55.888771,9,325546.761956
-45.271302,8,325674.743881
-50.219666,8,325810.449979
-59.178662,9,325958.107784
-78.987144,17,326233.223774
-136.608251,23,326605.960901
-52.070704,9,326748.386238
-50.987226,8,326882.564681
-63.889166,10,327046.637437
-104.676861,17,327323.910506
-70.070042,12,327523.23987
-31.554326,6,327609.157599
-77.011923,13,327832.721735
-47.029485,8,327959.586593
-51.964463,8,328093.361137
-44.202014,7,328213.110743
-63.492277,14,328455.302655
-60.827325,10,328609.684222
-67.794741,11,328798.407919
-72.785819,13,329002.398183
-63.156362,12,329210.246179
-47.661075,8,329355.341282
-40.392037,7,329476.780213
-30.30608,6,329565.494485
-41.777213,7,329683.708957
-49.051131,9,329828.804427
-41.410271,7,329942.424048
-90.480006,13,330153.345159
-70.073831,11,330328.906546
-54.583171,10,330503.782523
-76.557317,12,330705.130929
-50.80618,9,330849.254888
-37.001958,7,330963.549263
-51.135713,9,331103.414592
-63.54482,10,331268.215874
-60.800867,10,331435.598019
-91.789079,15,331678.070476
-62.122981,13,331893.24235
-66.844699,11,332066.082698
-68.982321,10,332240.127206
-36.81596,7,332353.079984
-43.005402,8,332482.119837
-76.892958,12,332684.437677
-41.934662,7,332800.706639
-61.572977,9,332955.907859
-60.974719,11,333137.064918
-45.257571,8,333254.367162
-63.602543,10,333424.57376
-38.765855,7,333536.630303
-54.551254,9,333682.116116
-39.414072,7,333796.461441
-67.955615,13,334012.71745
-45.572867,8,334146.274354
-42.365748,7,334256.403905
-52.189001,8,334413.085176
-60.697658,10,334579.867481
-32.825306,6,334670.687891
-34.086436,5,334758.406199
-62.75944,10,334924.579766
-41.772065,8,335062.023664
-38.835257,7,335181.480948
-45.577199,8,335319.992668
-49.391853,9,335466.096642
-34.813278,6,335567.968553
-47.917175,8,335705.701125
-51.576683,8,335832.837827
-40.922555,7,335948.525567
-57.228347,8,336081.717336
-52.485443,8,336216.93926
-38.106709,7,336338.578588
-54.807135,9,336492.506706
-35.760316,6,336589.834269
-52.605771,10,336755.253412
-49.865243,8,336892.096903
-55.092152,11,337071.110077
-51.03165,9,337229.703392
-31.44021,6,337330.02699
-44.888831,7,337442.861398
-39.92589,7,337564.402763
-42.912237,8,337697.629412
-28.501587,5,337782.554547
-51.537243,9,337933.598154
-42.504991,9,338079.865155
-26.481727,5,338165.754979
-29.298408,5,338249.689353
-42.402153,7,338370.493779
-56.389267,10,338527.737185
-42.828907,8,338669.984716
-62.50416,11,338854.071731
-40.264598,7,338974.5856
-37.887076,7,339090.449945
-43.3118,7,339201.651055
-57.150999,10,339372.243051
-54.794272,9,339531.691467
-28.708244,6,339627.653207
-31.73939,6,339733.974356
-53.803333,9,339885.442029
-46.801916,8,340020.820401
-41.559643,8,340151.10287
-43.113847,8,340282.564327
-32.183924,6,340380.088441
-52.512897,8,340509.259511
-44.882516,7,340636.882753
-41.087926,7,340750.277338
-40.359997,7,340868.355129
-34.048101,6,340975.686832
-56.61868,11,341166.971302
-25.488755,5,341249.537254
-46.22872,8,341386.381676
-28.582471,6,341476.19468
-31.598942,6,341582.187032
-40.961913,7,341706.618717
-39.068402,7,341819.882267
-38.81438,9,341989.198447
-39.399353,8,342116.705165
-37.057661,7,342245.182097
-38.34891,7,342363.555548
-46.152483,8,342517.269304
-38.028853,7,342633.230961
-27.440719,6,342721.908316
-31.227251,6,342826.794226
-30.70315,6,342929.859463
-35.568402,6,343036.149217
-51.207743,8,343171.835893
-52.830614,8,343301.890242
-52.506161,8,343436.203363
-29.436153,6,343551.516437
-37.253207,7,343671.299765
-37.868327,7,343794.109706
-34.658052,6,343894.360855
-35.110974,7,344019.680693
-39.931154,7,344136.06994
-29.174249,6,344238.47697
-30.195975,6,344341.871844
-44.652278,8,344475.39587
-42.220335,8,344607.09855
-28.249663,5,344694.94855
-21.149289,4,344767.108627
-49.955381,8,344902.865362
-36.725123,6,344998.992307
-33.688691,6,345098.241917
-29.855334,5,345186.428979
-50.934635,9,345335.303854
-37.745149,7,345449.978123
-38.102483,7,345570.547566
-30.316459,6,345668.567507
-46.283818,7,345793.247738
-40.691349,8,345929.473013
-43.424124,8,346054.836802
-42.349363,7,346174.783411
-34.314826,6,346270.927454
-31.060346,6,346384.537346
-30.350289,6,346483.96653
-47.297165,8,346618.551091
-26.905841,5,346700.257046
-50.530953,9,346864.027484
-35.341461,6,346969.920329
-30.80673,7,347080.319214
-22.415086,5,347169.192369
-42.485402,8,347304.806237
-28.579771,7,347421.617261
-41.348932,7,347549.55029
-41.821017,6,347650.627542
-30.910616,6,347748.870155
-36.212868,7,347867.101592
-42.653345,7,347997.530652
-21.782068,4,348072.856613
-33.057316,7,348189.08545
-40.506957,7,348310.495155
-39.515606,7,348437.915215
-36.960745,7,348557.127435
-27.144912,5,348642.65034
-26.886378,5,348724.772251
-23.990082,5,348804.294727
-28.168021,5,348880.507006
-21.379964,4,348962.955074
-27.276021,6,349073.166343
-38.792388,7,349201.147688
-31.738401,5,349299.140032
-19.863843,5,349388.025121
-31.865162,6,349489.356169
-35.507801,6,349599.378821
-33.884001,6,349704.343342
-25.854594,5,349773.446188
-32.168978,6,349871.285634
-41.242977,8,350003.171183
-36.194613,6,350110.950738
-29.462641,6,350209.195532
-29.738509,7,350328.199645
-39.322989,7,350445.752253
-47.129055,8,350584.526416
-25.741378,5,350669.828315
-40.510281,7,350787.597615
-58.933751,9,350950.37087
-33.652371,7,351078.030108
-34.280781,6,351179.54211
-30.290017,6,351286.493781
-19.40569,4,351357.335191
-28.164306,6,351452.869314
-36.799708,7,351568.46086
-44.166108,9,351729.518973
-29.147721,7,351853.471554
-35.213432,6,351962.275193
-32.927064,6,352065.249238
-28.888146,5,352150.481598
-35.903978,6,352258.388892
-32.233688,7,352377.458605
-25.043778,5,352464.449843
-25.086321,5,352548.778377
-28.898532,5,352638.108822
-28.050877,5,352725.791877
-22.365533,5,352810.250068
-33.323586,6,352905.66976
-28.916076,5,352996.66889
-31.137806,5,353082.133175
-30.443301,5,353177.947358
-28.970643,7,353303.052589
-27.535782,5,353391.05579
-37.441371,7,353511.981468
-27.14726,7,353628.372889
-24.526363,5,353728.66932
-35.103561,6,353827.235484
-39.145748,7,353950.135211
-29.602597,6,354056.210026
-27.637395,5,354145.409732
-26.21855,5,354232.657799
-31.380235,6,354332.719568
-28.266878,6,354442.760563
-28.84347,6,354548.116592
-31.483925,5,354640.979867
-34.623202,7,354755.770901
-22.594037,6,354861.082681
-20.045159,5,354947.773047
-28.379096,5,355038.34008
-31.684104,6,355137.032704
-24.542976,4,355215.731595
-33.013397,6,355314.708474
-21.454762,4,355393.253388
-48.292158,12,355604.02512
-27.033875,5,355698.526809
-37.657543,7,355822.345824
-28.543213,5,355907.710493
-39.155316,7,356040.637316
-19.371868,4,356114.457123
-32.585446,6,356226.614447
-38.644092,7,356347.015509
-25.081716,5,356448.521297
-43.93611,8,356581.70593
-26.835798,5,356674.642467
-33.565965,5,356765.089787
-33.976791,6,356866.538975
-23.901927,5,356950.663996
-34.886962,7,357080.166152
-27.748256,5,357163.557267
-33.199368,7,357281.116116
-28.264861,6,357397.427179
-29.443451,6,357499.034997
-24.567343,5,357594.184216
-27.744214,5,357672.040586
-33.622676,6,357781.84829
-21.715352,4,357863.205026
-19.748724,4,357931.061536
-26.203932,5,358027.363132
-28.957837,5,358122.385139
-21.04298,5,358352.679722
-19.89265,4,358426.744265
-27.098192,5,358509.000695
-25.567329,6,358614.262985
-31.23608,6,358716.527113
-22.635349,5,358812.366587
-33.704287,6,358917.126426
-31.957811,6,359016.392923
-27.46532,5,359095.429707
-48.419964,11,359292.867572
-23.250764,5,359383.042594
-30.754521,6,359489.989456
-20.737381,5,359577.518828
-27.429832,6,359687.243401
-24.072814,5,359772.498896
-22.289017,5,359869.088821
-31.118758,6,359973.666916
-27.170748,5,360061.856745
-22.229569,5,360152.44103
-24.98461,5,360242.44149
-23.22062,5,360328.465436
-23.789372,5,360419.360943
-20.855318,4,360492.799752
-29.589234,6,360595.469161
-33.259422,6,360704.041079
-25.3442,5,360801.837506
-30.690349,8,360951.802867
-31.557488,5,361045.065686
-33.541713,8,361185.455671
-21.735032,5,361276.957288
-20.008758,4,361345.472897
-20.079856,5,361432.593385
-31.202482,7,361559.6262
-23.938424,5,361641.91156
-22.628172,5,361741.931937
-19.8018,4,361809.961861
-33.915777,8,361955.629341
-17.554011,4,362029.378438
-30.525109,6,362134.266788
-23.130572,5,362218.641331
-35.973106,6,362327.099756
-23.365799,5,362413.426163
-20.982707,5,362506.445194
-24.172261,5,362601.762157
-28.207249,5,362692.698073
-29.860436,5,362793.19014
-25.193947,5,362881.843838
