#{"t_start": 1655307003.1699026, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-8012.706821,1001,362.716467
-7865.951808,1001,730.818322
-8007.853883,1001,1100.737679
-7402.360909,1001,1468.60954
-6426.65965,971,1828.873655
-6910.433062,1001,2635.066253
-6897.187911,1001,3036.780435
-7882.267551,1001,3427.706382
-7627.737433,1001,3844.602959
-6451.085386,990,4284.290612
-7808.235824,1001,5219.554305
-6857.201416,1001,5560.253691
-7682.464627,1001,5940.879183
-7408.220848,1001,6326.752807
-7779.372122,1001,6697.49053
-7405.548019,1001,7426.301949
-7314.306012,1001,7765.346014
-8093.693156,1001,8129.633802
-7070.593177,1001,8550.415011
-6699.564624,1001,8946.539862
-6570.561179,1001,9852.399917
-7936.186506,1001,10233.186298
-7676.475437,1001,10648.228293
-7161.510848,1001,11026.028877
-7878.375912,1001,11377.360118
-7294.758744,1001,11882.602065
-8026.633766,1001,12185.190566
-7138.653114,1001,12486.331097
-7450.378357,1001,12783.041775
-7585.508337,1001,13079.326295
-7731.53593,1001,13557.40398
-7480.944525,1001,13855.062906
-7744.309842,1001,14161.295918
-7505.211982,1001,14457.614369
-7926.513405,1001,14763.323853
-7427.804136,1001,15238.361659
-7332.518033,1001,15534.411884
-7142.867461,1001,15816.35322
-7818.517899,1001,16103.467444
-7250.976541,1001,16395.032704
-6982.751862,1001,16830.209612
-7205.956368,1001,17110.696883
-7110.662765,1001,17405.585341
-7018.428372,1001,17691.045316
-7316.32926,1001,18122.835154
-7632.659993,1001,18407.943856
-6641.429282,997,18692.908939
-7536.263851,1001,18978.559743
-8170.391591,1001,19266.712152
-6848.467702,1001,19700.704771
-7397.390744,1001,19988.256111
-6962.305459,1001,20276.501383
-7926.258052,1001,20564.1248
-7140.521291,1001,20853.428795
-7392.709338,1001,21285.879639
-7504.406474,1001,21574.255134
-7414.696002,1001,21861.867198
-6835.518813,1001,22151.573716
-7612.488688,1001,22443.125845
-8017.348554,1001,22879.441084
-7766.256398,1001,23170.968628
-8175.5582,1001,23461.856078
-7757.201095,1001,23749.310313
-7493.599948,1001,24039.814395
-7416.784104,1001,24477.512982
-7543.774826,1001,24766.842277
-7889.91297,1001,25057.874117
-7781.780579,1001,25347.489622
-6948.603978,1001,25639.089689
-7158.38675,1001,26080.856155
-8100.383988,1001,26372.868857
-7480.530574,1001,26664.033189
-7168.744723,1001,26953.01013
-7076.369067,1001,27241.451548
-7343.523428,1001,27676.347969
-6990.180906,1001,27968.636996
-7995.062087,1001,28256.896623
-6863.63913,1001,28544.629196
-7265.979048,1001,28832.457628
-6777.240641,1001,29266.899737
-7027.676678,1001,29554.550735
-6495.286988,984,29837.915251
-7581.28079,1001,30127.819146
-7195.349778,1001,30419.786717
-7489.455329,1001,30855.873823
-7479.047713,1001,31147.351592
-7618.199103,1001,31437.743786
-7631.795587,1001,31726.625648
-7070.576849,1001,32016.555065
-7808.903172,1001,32437.707144
-7333.807753,1001,32727.491272
-6804.527778,1001,33026.505971
-7092.623311,1001,33327.135046
-6664.064656,1000,33626.893195
-7207.770989,1001,34030.98596
-6874.558782,1001,34272.908373
-7801.566063,1001,34518.761234
-6802.331524,1001,34752.479833
-7456.250326,1001,34986.7291
-6900.082551,1001,35345.726179
-6848.574414,1001,35597.578827
-6843.690308,1001,35895.055563
-7298.693847,1001,36193.07533
-7465.184257,1001,36494.250898
-8232.499519,1001,36888.770084
-8188.600956,1001,37133.720013
-6660.795287,1001,37386.625293
-6802.532533,1001,37670.86279
-7110.002154,1001,37985.666745
-6169.317269,952,38263.565394
-8211.014799,1001,38769.7739
-7403.386857,1001,39089.026902
-6688.253383,1001,39415.181788
-7273.317698,1001,39750.08918
-6732.348891,1001,40254.148692
-6626.831147,1001,40540.854948
-7017.680038,1001,40846.806552
-7705.91683,1001,41173.65809
-6844.852738,1001,41501.85285
-7433.69968,1001,42014.796514
-6971.034221,1001,42336.516422
-6695.173881,1001,42662.213244
-6216.929578,945,42963.780577
-6914.579546,1001,43289.843751
-6870.515993,1001,43607.275113
-6408.277693,982,44081.090199
-6486.122559,1000,44395.819652
-6622.687857,1001,44708.484
-6184.567946,956,45001.632562
-6649.53217,1001,45315.510944
-7292.803669,1001,45811.261835
-6389.64264,983,46110.428247
-6476.364208,992,46426.63271
-6141.748746,957,46729.65565
-6227.93069,971,47032.534194
-6340.083342,988,47544.528131
