#{"t_start": 1658871392.375342, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-2327.393846,313,72589.682915
-2881.924098,394,169175.600025
-241.678426,32,177157.595605
-446.738613,61,192033.55338
-769.078162,107,218420.529512
-252.515466,37,220865.961888
-817.423423,116,228495.785108
-179.649735,26,230238.610664
-392.549882,56,234152.483479
-94.933289,13,235067.631506
-742.065668,104,242527.541153
-2925.921501,401,269756.868126
-175.667644,24,271443.512408
-1664.263556,228,287091.980916
-637.774915,91,293409.16153
-175.420729,26,295216.211936
-194.679721,27,297079.74159
-82.682723,11,297860.613746
-498.805777,68,302585.369549
-212.276701,30,304614.535067
-140.239,19,305916.721574
-477.942263,66,310538.875005
-905.421731,124,319108.241796
-216.505294,31,321107.771412
-24.256691,4,321394.352096
-813.798914,111,329087.503159
-189.821967,28,330992.033763
-1506.029252,207,345135.836551
-90.772221,13,346024.331356
-315.307116,43,348954.068004
-318.977755,44,352029.202976
-8.255034,2,352181.822011
-459.335379,67,356863.748916
-478.306266,69,361647.818543
-147.095848,21,363091.207758
-955.102755,135,372370.657512
-483.06861,67,376925.999531
-1772.529396,249,394311.625578
-789.999212,114,401902.344296
-1184.094492,165,413141.604495
-43.819566,7,413617.00852
-289.367417,41,416417.003196
-28.504614,4,416705.617073
-51.044195,8,417206.009202
-110.891845,16,418283.736936
-155.903128,21,419686.907906
-917.022591,130,428452.243832
-730.440893,100,435077.587534
-813.706062,112,442718.85748
-156.241147,22,444218.722601
-252.379623,34,446591.088976
-384.347915,54,450281.226548
-84.826422,14,451210.027478
-110.077837,15,452253.215383
-504.414787,70,457000.488339
-243.607167,34,459340.324229
-211.21353,32,461539.142647
-766.180736,111,469175.751881
-544.180584,78,474497.355982
-324.565297,46,477788.435561
-547.167111,76,483072.365357
-289.206688,44,486224.159403
-1351.05472,193,500012.366984
-194.967767,27,501912.46547
-164.958529,26,503739.608755
-57.332539,9,504360.469585
-1131.833922,163,515887.970402
-24.844884,4,516178.445091
-305.887388,44,519295.376508
-911.9687,128,528345.859152
-190.108007,29,530428.430774
-290.885047,43,533408.578216
-363.53968,50,536976.886995
-499.562473,71,542104.860716
-123.042563,17,543343.113877
-548.30481,80,548981.144443
-146.273878,24,550648.254425
-229.22331,35,553111.519872
-797.150231,112,561139.539396
-515.132083,84,567076.579636
-293.170645,42,569983.092582
-607.307588,83,576173.3205
-272.302471,40,579072.375041
-79.585579,12,580033.806778
-171.307986,24,582010.760112
-57.515234,8,582662.926639
-236.79347,35,585635.730422
-407.516229,56,590313.126745
-251.315782,34,593233.791546
-243.276676,35,596364.224243
-253.135802,35,599484.114031
-348.458395,55,604195.698855
-351.496791,53,608992.946959
-193.143706,28,611468.811021
-531.839247,74,617999.036703
-41.692804,6,618511.492723
-376.089408,53,623225.049064
-84.645845,12,624284.754392
-190.034672,29,626807.819983
-9.861621,2,627001.365513
-67.41455,10,627842.986129
-551.509502,78,643656.104777
-38.797454,6,645563.988469
-71.453578,11,649202.598054
-81.908647,12,652865.68743
-346.758359,50,662329.012515
-304.634727,44,668537.257728
-147.691065,20,671399.614146
-49.975707,7,672470.838081
-369.749559,51,688682.60784
-239.789729,33,697799.840144
-367.245112,52,708652.966269
-238.145758,38,717867.857296
-25.944065,5,718311.224154
-28.44912,5,718728.451796
-233.36247,35,721881.696018
-522.171279,75,728855.06558
-192.474192,27,731415.966684
-140.217274,20,733283.482031
-343.415631,46,737641.222244
-115.543192,18,739337.391649
-151.954963,22,773559.836129
-12.385468,2,773756.7167
-20.329447,4,774071.737467
-17.684538,3,774351.091844
-66.434143,9,775222.101418
-17.120514,3,775466.703454
-204.623969,29,778156.932275
-15.447221,3,778426.064073
-132.743131,20,780284.17664
-397.269125,56,785386.421315
-344.638732,49,790077.199966
-167.567336,24,792477.603326
-274.194813,41,796572.726375
-175.863738,25,798972.484942
-99.329166,14,800253.293998
-246.680716,34,803311.471935
-246.171941,36,806666.908183
-72.547883,10,807579.403959
-188.647827,28,810136.832263
-155.489491,22,812092.429572
-332.009425,48,816508.087047
-39.742888,6,817053.443676
-194.433036,28,819785.957917
-78.271475,12,820934.673025
-113.816663,18,822645.017227
-186.921088,27,825082.890949
-28.293296,4,825501.095587
-160.68021,22,827506.134692
-386.653577,58,832803.901785
-40.464813,6,833369.329104
-50.491671,8,834062.964552
-156.229275,23,836050.762364
-87.344683,14,837337.60469
-7.951729,2,837526.452655
-33.87915,5,838032.095469
-95.002961,16,839514.434986
-139.739793,20,841295.231852
-153.283653,23,843240.48587
-172.393589,28,845732.442091
-28.631458,4,846062.937157
-156.257877,24,848268.365475
-72.813154,11,849187.755721
-425.433499,63,854791.348434
-66.767333,12,856071.84181
-25.816075,4,856460.063163
-88.939635,14,857761.08637
-100.955937,14,859278.431909
-39.603336,6,859804.94331
-475.722149,70,865996.86745
-183.164545,26,868436.975102
-118.917288,19,870253.79459
-173.44701,28,872975.786068
-478.709027,71,879630.837157
-71.394395,10,880474.604511
-165.941287,25,882798.115826
-16.597514,3,883036.99123
-124.594325,19,884724.850598
-86.881684,14,886093.781043
-38.92972,6,886711.391328
-76.45072,12,887962.044198
-10.699459,2,888176.509798
-30.03744,5,888669.199085
-69.792969,9,889597.616261
-96.271772,15,891089.809933
-23.287897,4,891419.579465
-43.058054,9,892217.030703
-119.23388,17,893755.093652
-56.226006,11,894748.537345
-183.337357,26,897192.741508
-49.1653,8,897897.929839
-113.784495,16,899495.648705
-101.11144,15,900910.706553
-59.921357,10,901856.582052
-19.401783,3,902108.32303
-45.280245,7,902749.263584
-82.130937,13,903886.144216
-114.082555,17,906447.023011
-143.702107,22,913696.408998
-123.076111,17,919194.794138
-19.087329,4,920416.87206
-35.355814,8,923287.87292
-47.114052,8,925891.940217
-34.350493,5,927681.140875
-103.084232,16,932823.306118
-94.51118,15,936554.340527
-68.113559,9,938897.77843
-46.441036,7,940311.726079
-36.711678,5,941064.125876
-80.777168,12,942855.825744
-224.255843,33,948075.050312
-164.138275,26,956541.000055
-144.522002,21,963352.257159
-11.590855,2,964047.262096
-10.542173,2,964714.579738
-48.671484,9,967857.915568
-253.258649,38,974718.514668
-87.708523,12,978657.666397
-41.183325,8,981266.602763
-94.772479,14,985535.918991
-304.005848,49,993654.128554
-180.68594,27,995652.08167
-388.090462,56,1000067.620176
-102.890457,17,1001357.048827
-11.89272,2,1001485.805138
-27.989798,5,1001918.349874
-204.014218,31,1004334.519328
-116.628086,16,1005523.773178
-10.91307,2,1005649.417073
-221.870765,33,1008054.77732
-16.728088,3,1008266.301467
-79.671507,12,1009156.892622
-26.898392,6,1009634.386177
-51.98536,8,1010220.600871
-20.438988,3,1010457.35857
-45.052651,6,1010882.308529
-248.95094,37,1013577.721097
-92.574452,14,1014638.491818
-22.020055,5,1014986.794038
-85.07431,13,1015960.031826
-170.676872,25,1017714.742517
-115.879415,21,1019296.18812
-54.947107,8,1019897.781142
-16.790181,3,1020085.647785
-49.201342,7,1020573.645398
-23.493446,4,1020848.915107
-47.720227,8,1021444.717723
-43.820806,7,1021997.282892
-45.602688,8,1022599.912223
-48.941025,7,1023102.361046
-129.91147,20,1024555.26168
-29.241201,4,1024853.105665
-111.757468,16,1026000.350407
-138.567457,23,1027628.27915
-34.609718,5,1028004.573805
-85.102341,13,1028966.95912
-192.665709,30,1031137.60169
-12.187228,2,1031279.679507
-40.268334,6,1031752.961851
-41.281379,8,1032328.4507
-88.187322,13,1033297.752936
-66.149874,11,1034076.227543
-47.212856,8,1034662.101485
-24.653122,5,1035070.697067
-41.703398,6,1035480.100843
-15.963668,3,1035694.411709
-178.851108,26,1037686.392341
-34.117823,7,1038183.656741
-55.396985,8,1038767.832207
-12.680332,2,1038930.533363
-271.150367,45,1042206.998611
-9.315525,2,1042349.047776
-66.320384,11,1043139.549585
-77.091367,12,1044010.524251
-16.765458,3,1044229.257845
-49.460848,9,1044872.05248
-46.791481,7,1045431.991028
-102.428671,17,1046661.055112
-68.414165,11,1047452.540248
-60.130481,10,1048188.572639
-14.58843,3,1048404.937666
-40.303106,6,1048838.302709
-268.937872,40,1051857.577786
-29.097562,5,1052188.08894
-98.648114,18,1053518.61768
-20.570254,3,1053726.320544
-53.806076,8,1054319.948367
-27.485247,4,1054590.616732
-119.348627,17,1055790.281007
-24.117848,4,1056058.079739
-112.808001,18,1057432.333029
-61.755539,9,1058071.884548
-8.730738,2,1058225.591389
-99.179508,14,1059246.917566
-16.724834,3,1059436.192274
-24.274052,4,1059707.342267
