#{"t_start": 1658871386.9423904, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-307.89044,42,8603.527453
-399.079204,56,21029.628351
-1093.72869,147,52383.348574
-2674.285806,366,132050.47004
-324.252844,46,142555.211462
-1253.491707,174,182810.329294
-761.535071,104,206764.58487
-505.036441,67,219558.913377
-1002.053562,138,231923.639677
-37.328785,5,232414.171462
-2928.257582,401,268486.533322
-672.938042,95,280472.056414
-508.525964,71,289599.979353
-522.844144,72,298256.062738
-368.941568,53,306579.525696
-2687.888522,376,362437.47504
-843.22046,115,378521.262567
-1399.791909,198,405891.047628
-312.414801,43,411818.187329
-2070.749385,285,452507.329712
-185.515669,25,455854.176181
-522.205332,71,465525.810212
-851.788708,119,483056.646782
-399.568692,54,491312.75972
-127.951269,19,494337.770004
-1598.209758,225,528966.657068
-78.140728,11,530661.850287
-583.656887,82,543250.077664
-1304.105383,182,571121.714809
-351.486934,48,578407.491157
-143.208889,21,581735.228071
-65.523622,10,583288.877143
-156.237686,23,586758.203156
-257.192524,35,592326.206946
-132.807743,21,595645.543888
-466.770752,66,606186.4835
-275.434762,39,612228.366709
-101.022115,16,614761.10468
-494.521356,71,625693.043578
-247.924182,34,631335.267484
-269.962559,40,637249.982406
-493.319064,67,647576.885761
-1757.648337,245,685900.748927
-412.907532,61,695376.282238
-225.707203,32,700302.785294
-230.06337,33,705500.666152
-775.856895,111,722678.417644
-150.661155,21,725809.779923
-222.83514,31,730599.271604
-123.417774,18,733432.283036
-89.55874,14,735627.258159
-18.729385,3,735990.204911
-240.856906,34,773467.106869
-855.639464,127,797193.217598
-19.163718,3,797908.713064
-120.051381,18,801236.55185
-709.154707,101,816080.89586
-447.484197,64,824529.649032
-244.602375,35,829267.674876
-145.879624,19,832294.377557
-80.147213,11,834295.53482
-390.007819,52,841124.869081
-404.191386,56,849395.157737
-181.535478,28,853530.652499
-73.444154,10,855082.389055
-70.005427,10,856765.799021
-713.681132,101,868662.724074
-69.048304,11,869895.194656
-285.245581,42,874455.268967
-340.04175,47,879678.038865
-193.150321,29,882960.529558
-265.895686,37,887082.38392
-31.70219,4,887568.33779
-116.254306,16,889413.109476
-95.641313,15,891182.870844
-515.920143,71,899180.035386
-196.830685,29,902468.079916
-152.387246,21,904750.628682
-836.518675,115,917301.149253
-236.799737,33,920277.25736
-102.340137,15,921662.06329
-512.465337,74,928555.334614
-58.78223,8,929299.686628
-194.236212,29,931975.526335
-243.333264,36,935373.969685
-202.435109,29,938030.136404
-59.243139,10,938914.411476
-396.247349,57,944098.44066
-186.24492,27,946617.195789
-202.902944,30,949380.421479
-166.727609,24,951595.176359
-100.452664,15,952970.31819
-47.326055,8,953672.961864
-121.914359,18,955292.741492
-324.541068,49,959871.582981
-8.942951,2,960075.388853
-48.462831,7,960683.369842
-90.857243,13,961887.894927
-250.597421,39,965491.395837
-663.618284,97,974388.67237
-128.086586,19,976126.705377
-32.439634,5,976606.01552
-80.370313,12,977690.300031
-30.737506,5,978078.424263
-6.97529,2,978266.328049
-70.908542,13,979467.200746
-130.775138,20,981377.559263
-268.369783,43,985370.732731
-45.061035,8,986090.104542
-193.173166,27,988484.098949
-133.334335,19,990238.264343
-229.632766,35,994056.278599
-18.860599,3,994455.266424
-512.735941,73,1003469.767984
-194.722982,29,1007005.752262
-63.894359,9,1008038.45122
-26.976563,5,1008762.492744
-56.85503,9,1009957.303592
-62.963317,9,1011065.865559
-70.550579,11,1012066.565535
-37.403948,6,1012902.947464
-116.652327,17,1014945.26515
-381.811595,56,1021848.596928
-36.25503,5,1022498.713936
-259.983085,40,1027489.948574
-441.034299,66,1034865.997842
-400.156444,58,1040317.135589
-408.987511,57,1046048.238641
-109.665073,16,1047632.134647
-73.217021,10,1048643.044923
-95.144379,15,1050150.88259
-23.194555,5,1050565.391117
-82.431877,13,1051952.118278
-82.957371,14,1053223.94496
-309.365918,47,1058239.380569
