#{"t_start": 1658871386.942635, "env_id": "kuka_handlit_multiprocess-v0"}
r,l,t
-1066.897903,150,32385.375837
-872.49358,123,58503.882397
-593.574062,82,75656.979921
-2920.475381,401,165016.318628
-61.923211,10,167330.882059
-2613.576412,358,230533.687944
-716.158867,98,239411.435808
-902.568477,125,250545.313804
-284.191674,38,253899.066584
-53.314229,7,254531.577471
-279.608391,40,258059.108729
-446.281488,62,263649.847126
-1687.87768,235,291644.983833
-682.960791,95,304629.075921
-8.077635,2,304895.642309
-825.900063,114,322119.830718
-450.297869,63,331573.238739
-286.820697,41,337871.93035
-2443.697204,345,386398.322592
-241.923248,33,390830.118082
-117.188628,16,393219.6044
-146.660387,21,396224.008512
-2649.657529,367,448599.942518
-318.098107,45,454776.240009
-412.405381,54,462129.939787
-323.181305,45,468454.295782
-202.278167,29,472809.363497
-481.196562,68,482774.802443
-111.101624,16,485126.472784
-35.141017,5,485896.841659
-1353.808254,190,515163.437801
-1014.952726,142,537006.301749
-159.353192,22,540381.220861
-340.764,46,547550.983166
-484.620864,66,557219.119782
-451.864275,63,567108.221676
-336.333865,47,574422.830015
-142.153188,21,577574.447314
-887.495683,126,597228.290614
-558.418774,77,609636.202575
-380.38957,51,617665.107623
-26.499484,4,618233.582184
-466.449916,67,628646.069873
-156.878191,23,632405.126493
-132.740199,19,635242.97798
-258.102798,37,640810.546695
-181.375389,28,645159.142926
-71.775817,10,646704.770705
-1174.020649,166,672545.143505
-139.15695,18,675559.553448
-78.250746,12,677366.335215
-5.533295,2,677632.698884
-333.230351,47,684912.043956
-458.76952,65,695093.790584
-905.388707,128,714943.096293
-121.01712,18,717770.26231
-203.513844,28,722153.923207
-556.185225,79,734213.106794
-346.852751,50,774322.093859
-141.261101,21,778418.241028
-59.430847,9,779737.220844
-651.982033,92,796931.761434
-258.299362,39,804684.298195
-97.147245,15,807429.937407
-1025.068519,145,826347.581781
-1389.358785,198,854981.762058
-103.643466,14,857320.299314
-462.446268,68,865376.806566
-343.263742,49,870812.295185
-112.565132,15,872362.28854
-500.04814,71,880237.186174
-176.497638,26,883171.696821
-464.88974,64,890409.139488
-272.739914,39,895001.848956
-20.705605,3,895286.991743
-251.818349,35,899092.33683
-162.074001,23,901736.087282
-64.391528,11,903087.966475
-91.285603,13,904437.470524
-77.420678,12,905692.291995
-788.394112,109,917545.23163
-54.952223,8,918367.662994
-531.858831,80,925736.978217
-379.932092,53,930654.334395
-70.394808,11,931592.4244
-74.354441,13,932803.00861
-83.523154,13,934058.372328
-156.353372,25,936393.449869
-70.045743,10,937271.31091
-269.39767,39,940823.087885
-13.066211,3,941097.739542
-497.438801,68,947378.744652
-329.769208,48,951757.766284
-683.589997,93,960339.412776
-144.045759,22,962345.207537
-26.903903,4,962730.558666
-378.545679,57,967945.268594
-67.591895,10,968810.698113
-32.900775,6,969343.825028
-213.157483,31,972267.742939
-357.166877,55,977330.865088
-84.636227,15,978628.760657
-31.965993,5,979117.607488
-219.282743,35,982362.089494
-409.510332,56,987533.979663
-138.98969,21,989406.507409
-125.524363,19,991222.537353
-18.7802,3,991507.063107
-92.893176,14,993135.716055
-11.974342,2,993372.787838
-78.082033,10,994553.502251
-401.931135,61,1002164.299005
-223.153152,32,1006013.527102
-44.4063,8,1007045.966431
-20.490904,3,1007372.281357
-255.363471,35,1011614.956642
-36.619036,6,1012205.587778
-439.150396,66,1020386.50312
-24.117459,4,1020825.799903
-27.149529,5,1021407.219099
-231.119218,34,1025593.362211
-7.17089,2,1025875.685076
-26.027581,5,1026533.165537
-158.08616,22,1029435.327036
-122.140466,19,1031541.888341
-65.84056,10,1032691.784833
-38.251899,6,1033314.146664
-140.527947,22,1035485.134008
-51.557212,8,1036238.317074
-96.841592,14,1037504.691523
-393.081056,59,1043206.132589
-69.150824,11,1044394.534852
-397.218593,59,1050234.800948
-332.11248,51,1055298.233464
-75.015637,12,1056679.358958
-110.221473,16,1058341.886266
